,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,28158,"Bennett, Sam",,,,,,,,0.72,0.02,1.00,0.96,31.31,0.03,49.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13900,"Lowry, Shane",0.82,0.05,0.00,0.95,19.85,0.04,298.00,0.71,0.07,0.00,0.96,29.92,0.03,419.00,0.90,0.12,0.00,0.98,14.21,0.08,100.00,0.37,0.04,0.00,0.98,60.90,0.04,117.00,0.53,0.10,0.00,0.95,45.13,0.05,230.00,0.64,0.11,0.00,0.97,33.70,0.10,105
,13997,"Svensson, Adam",0.80,0.05,0.00,0.93,22.34,0.00,348.00,0.69,0.07,0.00,0.96,31.12,0.03,556.00,0.83,0.05,0.00,0.93,19.38,-0.03,100.00,0.39,0.07,0.00,0.98,55.90,0.03,170.00,0.49,0.06,0.00,0.96,46.46,0.01,267.00,0.57,0.06,0.00,0.93,36.62,0.01,152
,16243,"Koepka, Brooks",0.74,0.07,1.00,0.98,22.72,-0.04,43.00,0.68,0.07,0.00,0.97,28.17,0.03,94.00,0.81,0.05,0.00,0.95,14.72,0.04,20.00,0.34,0.04,0.00,0.89,61.71,-0.10,28.00,0.53,0.07,0.00,0.95,45.44,0.04,62.00,0.64,0.16,0.00,0.96,38.64,0.04,25
,26850,"Svensson, Jesper",0.84,0.08,0.00,0.95,23.44,0.01,76.00,0.64,0.09,0.00,0.94,31.75,0.03,115.00,0.84,0.10,0.00,0.94,17.54,-0.08,31.00,0.32,0.07,0.00,0.97,63.98,0.00,58.00,0.39,0.06,0.00,0.96,49.53,-0.01,66.00,0.57,0.07,0.00,0.91,37.60,-0.09,46
,12294,"Fleetwood, Tommy",0.90,0.09,0.00,0.96,19.81,0.07,292.00,0.71,0.05,0.00,0.95,29.37,0.03,411.00,0.89,0.11,0.00,0.96,16.46,0.02,70.00,0.34,0.05,0.00,0.97,67.15,0.02,126.00,0.51,0.03,0.00,0.96,48.53,0.01,228.00,0.66,0.03,0.00,0.96,39.34,0.01,75
,13872,"Bradley, Keegan",0.83,0.08,0.00,0.95,20.40,0.02,348.00,0.69,0.06,0.00,0.97,28.76,0.02,484.00,0.92,0.12,0.00,0.99,14.58,0.08,106.00,0.37,0.08,0.00,0.95,60.86,0.02,131.00,0.48,0.07,0.00,0.97,45.91,0.01,231.00,0.60,0.05,0.00,0.95,36.56,0.02,148
,15330,"Griffin, Lanto",0.77,0.09,0.00,0.92,23.53,-0.01,234.00,0.72,0.06,0.00,0.95,32.85,0.02,335.00,0.88,0.08,0.00,0.95,18.30,0.00,63.00,0.32,0.06,0.00,0.96,59.04,-0.03,104.00,0.51,0.08,0.00,0.94,50.62,0.02,169.00,0.55,0.08,0.00,0.95,35.54,0.06,109
,24766,"Kim, Tom",0.86,0.08,0.00,0.96,20.19,0.05,330.00,0.68,0.07,0.00,0.96,30.50,0.02,529.00,0.93,0.12,0.00,0.96,14.78,0.08,112.00,0.35,0.04,0.00,0.97,67.05,0.00,147.00,0.47,0.04,0.00,0.97,46.41,0.01,270.00,0.57,0.07,0.00,0.95,35.85,0.04,109
,29767,"Gerard, Ryan",0.84,0.14,1.00,0.93,19.93,0.06,42.00,0.78,0.03,1.00,0.97,31.32,0.02,67.00,0.89,0.08,1.00,1.00,17.57,0.07,13.00,0.43,0.04,0.00,0.96,69.11,-0.03,27.00,0.36,0.00,0.00,1.00,44.31,0.00,45.00,0.59,0.04,0.00,0.92,39.20,-0.01,25
