,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,11657,"Norlander, Henrik",0.82,0.09,0.00,0.94,22.53,0.03,226.00,0.69,0.09,0.00,0.97,29.18,0.06,347.00,0.78,0.06,0.00,0.88,20.49,-0.10,49.00,0.33,0.03,0.00,0.99,56.34,0.03,99.00,0.48,0.07,0.00,0.98,47.84,0.02,155.00,0.50,0.08,0.00,0.91,43.23,-0.02,85
,17422,"Del Solar, Cristobal",,,,,,,,0.68,0.08,1.00,0.98,30.00,0.06,60.00,,,,,,,,0.39,0.06,0.00,0.88,66.58,-0.07,34.00,0.33,0.03,1.00,0.88,57.41,-0.15,34.00,0.46,0.04,0.00,0.92,41.81,-0.03,25
,13562,"Matsuyama, Hideki",0.81,0.09,0.00,0.94,20.56,0.04,314.00,0.72,0.07,0.00,0.98,28.00,0.05,392.00,0.85,0.11,0.00,0.94,14.25,0.09,81.00,0.31,0.05,0.00,0.97,58.03,0.00,153.00,0.52,0.05,0.00,0.96,42.87,0.03,208.00,0.58,0.05,0.00,0.96,37.12,0.01,155
,19190,"Hoshino, Rikuya",0.79,0.04,0.00,0.95,24.45,-0.04,56.00,0.74,0.08,0.00,0.97,29.23,0.05,106.00,0.87,0.16,0.00,1.00,15.53,0.13,19.00,0.26,0.02,0.00,0.86,71.80,-0.14,55.00,0.40,0.08,0.00,0.95,44.05,0.03,40.00,0.61,0.16,0.00,0.95,31.85,0.05,19
,14509,"Dahmen, Joel",0.82,0.08,0.00,0.95,20.17,0.05,288.00,0.73,0.07,0.00,0.95,28.93,0.05,435.00,0.79,0.08,0.00,0.92,17.72,-0.02,126.00,0.30,0.06,0.00,0.98,66.11,0.03,120.00,0.56,0.05,0.00,0.98,44.51,0.05,202.00,0.51,0.04,0.00,0.93,40.78,-0.05,133
,17881,"Yu, Kevin",0.81,0.07,0.00,0.95,22.37,0.00,286.00,0.75,0.07,0.00,0.95,29.43,0.05,373.00,0.86,0.07,0.00,0.92,18.58,-0.02,110.00,0.42,0.07,0.00,0.96,59.12,0.06,128.00,0.49,0.06,0.00,0.96,48.44,0.01,198.00,0.47,0.07,0.00,0.90,43.83,-0.06,164
,11676,"Finau, Tony",0.82,0.05,0.00,0.94,23.12,-0.01,296.00,0.74,0.07,0.00,0.95,29.09,0.05,414.00,0.85,0.11,0.00,0.91,17.51,0.00,85.00,0.49,0.12,0.00,0.96,54.55,0.09,154.00,0.51,0.07,0.00,0.98,42.86,0.06,214.00,0.63,0.05,0.00,0.93,36.09,0.03,146
,18628,"Campbell, Brian",0.68,0.09,1.00,0.85,30.04,-0.08,54.00,0.70,0.05,0.00,0.97,31.17,0.04,117.00,0.93,0.10,0.00,1.00,15.72,0.08,21.00,0.41,0.06,0.00,0.97,49.93,0.01,32.00,0.48,0.05,0.00,1.00,47.67,0.03,59.00,0.69,0.05,0.00,1.00,34.48,0.09,21
,23602,"Hojgaard, Nicolai",0.77,0.10,0.00,0.93,22.09,0.02,183.00,0.74,0.06,0.00,0.96,29.28,0.04,298.00,0.90,0.07,0.00,0.95,17.33,0.02,77.00,0.31,0.05,0.00,0.92,67.97,-0.03,118.00,0.59,0.06,0.00,0.98,40.18,0.10,129.00,0.64,0.07,0.00,0.97,36.40,0.05,95
,24304,"Vilips, Karl",,,,,,,,0.70,0.10,1.00,0.96,33.09,0.04,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22085,"Morikawa, Collin",0.82,0.09,0.00,0.95,19.83,0.05,362.00,0.68,0.07,0.00,0.96,28.97,0.04,494.00,0.90,0.11,0.00,0.96,15.16,0.07,91.00,0.34,0.09,0.00,0.97,59.05,0.05,118.00,0.43,0.05,0.00,0.97,48.07,-0.02,256.00,0.63,0.10,0.00,0.89,40.73,-0.03,73
