"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"✅ Beat model by 33 | ✅ Rough Proximity beat model (-2.49) | ⚠️ Fairway Proximity missed model (0.26) | ⚠️ SG Putting missed model (-0.134) | ✅ SG OTT beat model (0.120) | Δ Approach ↓ curr over 200 fw","19870","McCarthy, Denny",74,107,"-2.742","-2.726","277.200","277.200","60.70%","62.03%","-1.563","-1.681","0.817","0.805","-0.553","-0.540","-1.826","-1.946","-1.179","-1.045","55.60%","55.60%","48.20%","49.67%","4.500","4.562","7.000","6.876","75.500","75.438","31.149","30.890","53.295","55.788","100.00%","89.00%","0.378","0.054","5.333","17.871","78.30%","83.70%","0.043","0.450","17.759","19.829","28.90%","59.90%","0.028","-0.054","24.315","35.320","82.80%","37.80%","0.290","0.090","11.984","69.404","64.71%","69.60%","0.047","-0.702","27.959","34.669","9.30%","38.70%","-0.218","-1.350","55.286","45.198"
"✅ Beat model by 34 | ⚠️ SG Putting missed model (-0.344) | ✅ SG T2G beat model (0.328) | ✅ Rough Proximity beat model (-0.28) | ✅ SG OTT beat model (0.208) | Δ Approach ↓ prev 50 100 fw","19960","Pavon, Matthieu",74,108,"-1.742","-1.726","284.950","284.819","57.15%","56.26%","-1.161","-1.490","-0.084","-0.282","-0.958","-0.879","-0.121","-0.329","-0.580","-0.236","50.00%","47.92%","48.40%","53.04%","2.000","1.876","4.000","4.000","74.500","74.438","36.319","36.140","54.656","54.935","100.00%","90.60%","0.076","-1.800","11.789","23.636","95.72%","75.10%","0.148","-0.666","15.793","22.861","54.03%","58.70%","-0.137","0.144","47.609","41.099","0.00%","22.50%","0.274","-0.540","11.973","55.217","48.10%","62.10%","0.036","-0.792","28.846","35.493","8.50%","48.10%","-0.287","-0.468","81.567","52.083"
"✅ Beat model by 35 | ⚠️ Rough Proximity missed model (0.76) | ✅ Fairway Proximity beat model (-0.31) | ⚠️ SG T2G missed model (-0.225) | ⚠️ SG Total missed model (-0.202) | Δ Approach ↓ prev 100 150 fw","23816","Valimaki, Sami",74,109,"-3.242","-3.040","273.550","273.581","50.00%","49.12%","-2.075","-1.850","0.447","0.561","-0.770","-0.705","-1.752","-1.705","-1.167","-1.190","55.55%","54.86%","57.20%","58.79%","3.500","3.313","7.500","7.313","76.000","75.751","26.962","27.277","54.650","53.892","100.00%","92.90%","0.468","0.936","3.180","14.854","75.04%","70.80%","-0.029","-1.278","26.082","23.888","22.00%","52.60%","-0.425","-1.170","38.354","37.478","69.80%","36.20%","0.168","0.756","28.368","51.447","66.35%","65.60%","0.082","-0.288","22.391","29.231","54.25%","53.10%","0.152","0.666","29.070","35.982"
"✅ Beat model by 36 | ✅ Rough Proximity beat model (-2.00) | ⚠️ Fairway Proximity missed model (0.97) | ✅ SG Total beat model (0.544) | ✅ SG T2G beat model (0.373) | Δ Approach ↑ prev 50 100 fw","28309","Coody, Pierceson",74,110,"-6.242","-6.786","291.500","291.848","46.40%","47.73%","-4.125","-4.498","0.111","-0.052","-3.457","-3.785","-0.780","-0.661","-2.116","-2.287","52.75%","51.71%","33.20%","31.99%","2.000","2.124","8.500","8.811","79.000","79.497","36.676","35.704","66.406","68.401","100.00%","98.50%","-0.256","2.142","27.958","12.533","76.26%","87.00%","-0.141","0.612","31.690","20.115","57.67%","50.50%","-0.027","-0.738","39.245","40.041","24.10%","42.90%","-0.133","0.144","71.479","56.994","71.30%","65.30%","0.064","0.072","31.096","32.416","67.02%","60.90%","0.120","0.504","38.881","41.727"
"✅ Beat model by 37 | ⚠️ Fairway Proximity missed model (0.85) | ⚠️ Rough Proximity missed model (0.80) | ✅ SG Total beat model (0.419) | ✅ SG Putting beat model (0.269) | Δ Approach ↓ curr over 150 rgh","24304","Vilips, Karl",74,111,"-3.242","-3.661","285.450","285.295","28.60%","28.60%","-3.575","-3.726","-1.368","-1.266","0.915","0.918","-3.123","-3.378","0.334","0.065","41.65%","41.99%","81.95%","81.09%","3.500","3.438","9.000","9.124","76.000","76.373","37.255","36.409","59.727","58.930","83.16%","79.20%","-0.079","-1.944","17.643","17.855","78.98%","81.20%","0.067","0.666","26.858","19.717","37.48%","47.90%","0.090","0.450","38.238","39.450","0.00%","19.40%","-0.281","-2.250","100.256","81.562","71.08%","63.20%","0.026","-0.648","30.720","32.616","33.95%","40.00%","-0.104","0.000","71.771","45.195"
"✅ Beat model by 39 | ✅ Rough Proximity beat model (-2.23) | ⚠️ Fairway Proximity missed model (0.75) | ✅ Driving Distance beat model (0.26) | ✅ SG Putting beat model (0.094) | Δ Approach ↓ prev under 150 rgh","24342","Higgo, Garrick",74,113,"-3.242","-3.288","291.700","291.439","57.15%","58.04%","-3.019","-2.972","-1.559","-1.559","-1.366","-1.349","-0.094","-0.063","-0.222","-0.316","55.55%","56.24%","45.85%","45.33%","4.000","3.751","6.000","6.000","76.000","76.000","43.506","42.757","64.462","66.696","100.00%","71.50%","0.048","-1.332","11.578","18.382","83.20%","83.20%","-0.019","-0.234","24.601","22.932","52.46%","39.60%","-0.014","-2.160","32.048","40.042","3.33%","24.60%","-0.175","-1.242","76.671","66.560","57.88%","59.80%","-0.082","-0.432","38.239","33.605","24.53%","44.80%","-0.214","0.270","63.942","41.323"
"✅ Beat model by 40 | ✅ Rough Proximity beat model (-1.79) | ⚠️ Fairway Proximity missed model (0.54) | ⚠️ SG T2G missed model (-0.216) | ✅ SG Putting beat model (0.201) | Δ Approach ↓ curr 50 100 fw","21688","Kim, S.H.",74,114,"-1.742","-1.726","282.050","282.106","67.85%","67.41%","-2.155","-1.938","-2.240","-2.084","-0.670","-0.558","0.756","0.705","0.413","0.212","50.00%","49.30%","71.45%","73.09%","2.000","1.876","5.000","4.876","74.500","74.438","36.173","35.635","37.324","39.119","71.50%","61.90%","-0.510","-5.436","24.442","27.082","48.74%","71.70%","-0.191","-0.918","23.374","23.301","82.68%","55.80%","0.286","0.072","11.933","32.867","0.00%","29.20%","-0.166","-0.882","73.006","67.390","56.17%","63.00%","-0.083","-1.224","33.703","34.082","30.80%","37.00%","-0.098","-1.350","54.911","49.401"
"✅ Beat model by 41 | ⚠️ Rough Proximity missed model (1.13) | ⚠️ Driving Distance missed model (-0.56) | ⚠️ Fairway Proximity missed model (0.54) | ✅ SG Total beat model (0.233) | Δ Approach ↓ curr 50 100 fw","27900","Potgieter, Aldrich",74,115,"-2.742","-2.975","293.300","293.860","71.45%","70.56%","-0.668","-0.832","-0.574","-0.529","-0.543","-0.568","0.448","0.265","-2.073","-2.143","50.00%","50.00%","54.50%","54.50%","3.000","3.000","8.500","8.687","75.500","75.687","33.448","32.905","92.975","91.842","53.60%","66.80%","-0.299","-3.798","27.754","25.906","60.74%","76.30%","-0.090","-1.170","29.167","24.973","96.70%","44.20%","0.108","-2.466","31.713","47.656","4.67%","40.50%","-0.300","1.350","110.782","61.424","56.70%","67.70%","-0.089","-0.810","33.553","31.892","100.00%","60.90%","0.336","2.592","23.572","35.873"
"✅ Beat model by 42 | ⚠️ Rough Proximity missed model (28.64) | ✅ SG Putting beat model (0.214) | ✅ Driving Distance beat model (0.21) | ✅ SG Total beat model (0.171) | Δ Approach ↓ prev 50 100 fw","16333","Hubbard, Mark",74,116,"-2.242","-2.413","279.600","279.389","60.70%","57.59%","-1.397","-1.354","0.345","0.365","-0.717","-0.554","-1.025","-1.164","-0.844","-1.058","55.60%","55.60%","44.95%","45.02%","3.500","3.313","6.000","6.124","75.000","75.124","37.233","37.173","28.635","0.000","100.00%","80.80%","0.120","-2.430","12.816","21.838","75.22%","84.30%","-0.013","0.018","23.901","22.119","94.63%","53.80%","0.260","-0.126","21.126","40.509","36.60%","31.70%","-0.010","-2.070","44.753","65.543","66.60%","66.60%","-0.065","-0.288","36.806","31.906","31.68%","48.50%","-0.087","0.414","44.206","38.017"
"✅ Beat model by 43 | ✅ Rough Proximity beat model (-4.37) | ✅ Fairway Proximity beat model (-0.77) | ✅ Driving Distance beat model (0.30) | ✅ SG Approach beat model (0.233) | Δ Approach ↓ prev under 150 rgh","18628","Campbell, Brian",74,117,"-0.742","-0.726","274.400","274.102","57.15%","56.26%","0.398","0.188","1.364","1.130","-0.041","0.009","-0.924","-0.952","-1.139","-0.913","58.30%","56.57%","37.50%","0.00%","3.500","3.438","5.000","4.876","73.500","73.438","31.389","32.160","68.689","73.054","100.00%","83.00%","0.155","-0.180","11.306","16.443","85.90%","77.10%","0.111","-0.180","19.172","25.684","80.96%","59.20%","0.118","-1.908","27.087","39.017","4.60%","11.40%","-0.089","-2.826","121.294","73.807","66.62%","59.00%","-0.024","-0.180","25.751","28.243","36.53%","47.10%","0.068","0.090","37.200","46.804"
"✅ Beat model by 44 | ✅ Driving Distance beat model (1.06) | ⚠️ Rough Proximity missed model (1.04) | ⚠️ Fairway Proximity missed model (0.64) | ⚠️ SG Approach missed model (-0.634) | Δ Approach ↓ prev 50 100 fw","12808","Grillo, Emiliano",74,118,"-7.742","-7.353","276.050","274.987","57.15%","56.26%","-6.707","-6.472","-3.431","-2.797","0.065","0.005","-3.341","-3.680","-1.035","-0.881","47.20%","47.55%","42.85%","44.62%","3.000","3.124","7.500","7.313","80.500","80.065","36.447","35.807","40.848","39.811","80.00%","70.80%","0.142","-1.620","10.863","18.767","85.89%","85.20%","-0.293","0.306","34.735","21.473","35.10%","48.70%","-0.049","-0.162","41.614","36.450","54.60%","34.60%","0.299","-0.090","10.812","51.396","57.50%","68.30%","-0.399","-0.054","30.596","29.516","64.70%","52.10%","0.055","-0.090","43.352","44.612"
"✅ Beat model by 45 | ✅ Rough Proximity beat model (-0.49) | ⚠️ Fairway Proximity missed model (0.47) | ⚠️ SG Approach missed model (-0.134) | ⚠️ SG T2G missed model (-0.131) | Δ Approach ↓ curr 150 200 fw","27164","Phillips, Chandler",74,119,"-6.242","-6.164","285.550","285.618","64.30%","64.30%","-5.080","-4.949","-3.749","-3.616","-1.842","-1.901","0.511","0.567","-1.161","-1.214","33.30%","33.30%","46.45%","46.48%","2.500","2.438","9.000","9.249","79.000","78.876","34.846","34.378","70.823","71.310","100.00%","88.40%","0.127","0.882","14.222","16.428","61.79%","80.80%","-0.102","-0.306","26.057","23.645","29.17%","52.30%","-0.140","-0.846","47.898","42.968","2.87%","22.80%","-0.165","-0.936","59.193","64.341","16.34%","52.30%","-0.455","-2.142","40.466","34.227","32.27%","37.60%","-0.448","-1.926","49.322","49.343"
"✅ Beat model by 46 | ⚠️ SG Total missed model (-0.264) | ⚠️ Rough Proximity missed model (0.25) | ⚠️ Driving Distance missed model (-0.24) | ⚠️ SG Putting missed model (-0.146) | Δ Approach ↑ prev 100 150 fw","19872","Riley, Davis",74,120,"-8.742","-8.478","282.200","282.436","32.15%","30.81%","-7.453","-7.334","-2.071","-2.087","-0.821","-0.677","-4.561","-4.570","-1.289","-1.143","50.00%","50.00%","48.20%","49.67%","3.500","3.562","10.000","9.876","81.500","81.189","36.064","35.988","61.761","61.507","55.30%","76.30%","-0.159","-1.062","28.843","18.913","79.08%","88.90%","-0.282","0.756","23.738","18.318","46.48%","48.20%","-0.089","-1.908","39.281","46.796","66.97%","34.10%","0.131","0.324","62.679","73.610","53.54%","66.60%","-0.037","-1.044","40.915","35.511","39.97%","41.50%","-0.129","-0.936","49.142","59.454"
"✅ Beat model by 47 | ✅ Rough Proximity beat model (-2.78) | ⚠️ Driving Distance missed model (-0.37) | ✅ SG Around Green beat model (0.188) | ⚠️ SG Approach missed model (-0.180) | Δ Approach ↓ prev 50 100 fw","17881","Yu, Kevin",74,121,"-6.242","-6.164","287.250","287.617","50.00%","50.88%","-1.707","-1.707","-1.549","-1.369","-0.337","-0.525","0.179","0.187","-4.535","-4.457","61.10%","62.48%","25.00%","23.45%","3.000","3.000","10.500","10.438","79.000","78.876","37.225","37.114","67.337","70.114","100.00%","70.40%","0.088","-1.656","21.797","22.157","88.10%","85.10%","-0.053","-0.144","22.897","22.309","55.70%","55.70%","-0.149","-1.710","43.575","41.343","58.76%","33.30%","0.000","-0.342","65.844","68.774","59.07%","66.90%","0.019","-0.216","31.853","34.148","31.66%","48.30%","-0.188","-0.018","58.679","44.478"
"Δ Approach ↓ curr 50 100 fw","31343","Ford, David",74,"","-0.742","","284.250","","60.70%","","-0.881","","-0.564","","0.371","","-0.688","","0.139","","58.35%","","56.35%","","3.000","","4.000","","73.500","","33.972","","62.211","","68.53%","","-0.331","","37.742","","77.14%","","-0.054","","24.014","","49.33%","","-0.017","","43.634","","45.60%","","0.009","","68.750","","80.88%","","0.065","","29.097","","71.33%","","-0.016","","48.869",""
"Δ Approach ↑ prev over 150 rgh","22085","Morikawa, Collin","",122,"","0.000","","0.000","","0.00%","","0.000","","0.000","","0.000","","0.000","","0.000","","0.00%","","0.00%","","0.000","","0.000","","0.000","","0.000","","0.000","94.70%","94.70%","0.042","0.756","14.711","14.711","84.90%","84.90%","0.058","1.044","19.007","19.007","61.40%","61.40%","0.067","1.206","30.210","30.210","56.50%","56.50%","0.071","1.278","56.347","56.347","69.90%","69.90%","0.050","0.900","28.502","28.502","46.70%","46.70%","0.051","0.918","43.190","43.190"
"Δ Approach ↑ prev over 200 fw","11889","Fox, Ryan","",123,"","0.000","","0.000","","0.00%","","0.000","","0.000","","0.000","","0.000","","0.000","","0.00%","","0.00%","","0.000","","0.000","","0.000","","0.000","","0.000","75.80%","75.80%","-0.048","-0.864","16.962","16.962","73.20%","73.20%","-0.022","-0.396","22.320","22.320","59.10%","59.10%","0.064","1.152","29.150","29.150","38.30%","38.30%","0.026","0.468","59.999","59.999","66.70%","66.70%","-0.001","-0.018","31.026","31.026","55.50%","55.50%","0.136","2.448","36.958","36.958"
