
Tournament: American Express (2026),Last updated: 2026-02-23T13:08:01.927Z
Course: La Quinta Country Club,Found 156 players from historical_csv
Data Date: 2026-02-23T19:56:20.841Z
DG ID,Player Name,Finish Position,Model Rank,Finish Highlight,Finish Bg,Finish Font,Finish Bold,Model Rank Highlight,Model Rank Bg,Model Rank Font,Model Rank Bold,SG Total Color,Driving Distance Color,Driving Accuracy Color,SG T2G Color,SG Approach Color,SG Around Green Color,SG OTT Color,SG Putting Color,Greens in Regulation Color,Fairway Proximity Color,Rough Proximity Color
"21943","Lebioda, Hank","74",37,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"16394","Jaeger, Stephan","74",28,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8"
"8480","Streelman, Kevin","74",124,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE"
"11676","Finau, Tony","74",143,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"7301","Dufner, Jason","74",108,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE"
"14140","Higgs, Harry","74",138,"","","","","","","","","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE"
"13997","Svensson, Adam","74",115,"","","","","","","","","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"12423","Kirk, Chris","74",75,"","","","","","","","","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"17543","Kim, Michael","74",14,"","","","","","","","","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8"
"18424","Roy, Kevin","74",67,"","","","","","","","","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8"
"6093","Rose, Justin","74",5,"","","","","","","","","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8"
"20706","Wallace, Matt","74",139,"","","","","","","","","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"26850","Svensson, Jesper","74",149,"","","","","","","","","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE"
"14926","Malnati, Peter","74",155,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8"
"15330","Griffin, Lanto","74",109,"","","","","","","","","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE"
"28016","Gonzalez, Emilio","74",16,"","","","","","","","","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8"
