,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,dg_id,player_name,am,event_name,course_name,course,early_late,pga_number,current_round,start_hole,r1_teetime,r2_teetime,r3_teetime,r4_teetime,unofficial
,26657,"Fisk, Steven",0,Farmers Insurance Open,,,,57123,1,10,2026-01-29 11:00,2026-01-30 9:43,,,0
,31343,"Ford, David",0,Farmers Insurance Open,,,,65256,1,10,2026-01-29 11:11,2026-01-30 10:05,,,0
,11451,"Garnett, Brice",0,Farmers Insurance Open,,,1,29535,1,10,2026-01-29 9:54,2026-01-30 11:00,,,0
,21886,"Geddes, Mark",0,Farmers Insurance Open,,,,49893,1,1,2026-01-29 11:11,2026-01-30 10:05,,,0
,29767,"Gerard, Ryan",0,Farmers Insurance Open,,,,59018,1,10,2026-01-29 10:49,2026-01-30 9:32,,,0
,24550,"Ghim, Doug",0,Farmers Insurance Open,,,1,52375,1,1,2026-01-29 9:10,2026-01-30 10:16,,,0
,28016,"Gonzalez, Emilio",0,Farmers Insurance Open,,,,59567,1,10,2026-01-29 11:11,2026-01-30 9:54,,,0
,27774,"Gotterup, Chris",0,Farmers Insurance Open,,,,59095,1,10,2026-01-29 10:49,2026-01-30 9:43,,,0
,23465,"Greyserman, Max",0,Farmers Insurance Open,,,1,51977,1,1,2026-01-29 9:10,2026-01-30 10:16,,,0
,15330,"Griffin, Lanto",0,Farmers Insurance Open,,,,35310,1,1,2026-01-29 10:16,2026-01-30 9:10,,,0
,12808,"Grillo, Emiliano",0,Farmers Insurance Open,,,,31646,1,1,2026-01-29 11:00,2026-01-30 9:54,,,0
,31960,"Hastings, Justin",0,Farmers Insurance Open,,,1,66248,1,1,2026-01-29 10:05,2026-01-30 11:11,,,0
,24342,"Higgo, Garrick",0,Farmers Insurance Open,,,1,54421,1,1,2026-01-29 9:32,2026-01-30 10:38,,,0
,28469,"Highsmith, Joe",0,Farmers Insurance Open,,,1,60067,1,10,2026-01-29 9:43,2026-01-30 10:49,,,0
,20954,"Hirata, Kensei",0,Farmers Insurance Open,,,,49120,1,1,2026-01-29 10:49,2026-01-30 9:43,,,0
,22760,"Hisatsune, Ryo",0,Farmers Insurance Open,,,1,51287,1,1,2026-01-29 9:21,2026-01-30 10:27,,,0
,25157,"Hodges, Lee",0,Farmers Insurance Open,,,1,54628,1,10,2026-01-29 9:10,2026-01-30 10:16,,,0
,23504,"Hoey, Rico",0,Farmers Insurance Open,,,1,51696,1,10,2026-01-29 9:21,2026-01-30 10:27,,,0
,5768,"Hoffman, Charley",0,Farmers Insurance Open,,,,12716,1,1,2026-01-29 10:16,2026-01-30 9:10,,,0
,15575,"Hoge, Tom",0,Farmers Insurance Open,,,1,35532,1,10,2026-01-29 9:10,2026-01-30 10:16,,,0
,23602,"Hojgaard, Nicolai",0,Farmers Insurance Open,,,1,52453,1,10,2026-01-29 9:21,2026-01-30 10:27,,,0
,23838,"Hojgaard, Rasmus",0,Farmers Insurance Open,,,1,52686,1,10,2026-01-29 9:10,2026-01-30 10:16,,,0
,17538,"Homa, Max",0,Farmers Insurance Open,,,1,39977,1,1,2026-01-29 9:32,2026-01-30 10:38,,,0
,11276,"Horschel, Billy",0,Farmers Insurance Open,,,,29420,1,1,2026-01-29 10:38,2026-01-30 9:32,,,0
,15470,"Hossler, Beau",0,Farmers Insurance Open,,,1,35461,1,1,2026-01-29 9:21,2026-01-30 10:27,,,0
,16333,"Hubbard, Mark",0,Farmers Insurance Open,,,1,36801,1,10,2026-01-29 9:21,2026-01-30 10:27,,,0
,15556,"Hughes, Mackenzie",0,Farmers Insurance Open,,,,35506,1,1,2026-01-29 10:16,2026-01-30 9:10,,,0
,16394,"Jaeger, Stephan",0,Farmers Insurance Open,,,1,36799,1,1,2026-01-29 9:43,2026-01-30 10:49,,,0
