G,G,G,G,G,G,,Instructions
42307077,42307080,42307109,42307111,42307113,42307131,,
42307080,42307081,42307090,42307109,42307111,42307131,,
42307080,42307081,42307090,42307109,42307113,42307131,,
42307077,42307080,42307103,42307109,42307111,42307147,,
42307077,42307090,42307099,42307103,42307111,42307113,,
42307077,42307090,42307099,42307101,42307103,42307131,,
42307081,42307083,42307099,42307101,42307103,42307113,,
42307081,42307083,42307091,42307099,42307101,42307147,,
42307083,42307091,42307093,42307100,42307101,42307102,,
42307083,42307091,42307093,42307094,42307102,42307108,,
42307088,42307089,42307091,42307093,42307102,42307108,,
42307087,42307089,42307093,42307094,42307102,42307104,,
42307087,42307088,42307089,42307094,42307108,42307112,,
42307087,42307088,42307089,42307094,42307107,42307112,,
42307078,42307088,42307100,42307104,42307107,42307108,,
42307078,42307087,42307100,42307104,42307107,42307112,,
42307078,42307084,42307097,42307100,42307104,42307147,,
42307078,42307084,42307095,42307097,42307112,42307147,,
42307082,42307084,42307085,42307107,42307118,42307124,,
42307084,42307085,42307092,42307095,42307097,42307143,,
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,G,David Skinns (42307181),David Skinns,42307181,G,6300,Valspar Championship,Golf,70.5
,,,,,,,G,Paul Peterson (42307182),Paul Peterson,42307182,G,6300,Valspar Championship,Golf,60.4
,,,,,,,G,Henrik Norlander (42320163),Henrik Norlander,42320163,G,6300,Valspar Championship,Golf,49.5
,,,,,,,G,Brandt Snedeker (42307183),Brandt Snedeker,42307183,G,6200,Valspar Championship,Golf,35.88
,,,,,,,G,Peter Malnati (42307184),Peter Malnati,42307184,G,6200,Valspar Championship,Golf,42.75
,,,,,,,G,Patton Kizzire (42307185),Patton Kizzire,42307185,G,6200,Valspar Championship,Golf,58.2
,,,,,,,G,Jeremy Paul (42307186),Jeremy Paul,42307186,G,6200,Valspar Championship,Golf,73.2
,,,,,,,G,Joe Highsmith (42307187),Joe Highsmith,42307187,G,6200,Valspar Championship,Golf,60.07
,,,,,,,G,Kevin Streelman (42307188),Kevin Streelman,42307188,G,6200,Valspar Championship,Golf,61.12
,,,,,,,G,Erik Van Rooyen (42307189),Erik Van Rooyen,42307189,G,6200,Valspar Championship,Golf,34.29
,,,,,,,G,Nick Dunlap (42307190),Nick Dunlap,42307190,G,6200,Valspar Championship,Golf,34.25
,,,,,,,G,Tyler Wilkes (42329340),Tyler Wilkes,42329340,G,6200,Valspar Championship,Golf,23.5
,,,,,,,G,Davis Chatfield (42307191),Davis Chatfield,42307191,G,6100,Valspar Championship,Golf,40.67
,,,,,,,G,Hank Lebioda (42307192),Hank Lebioda,42307192,G,6100,Valspar Championship,Golf,47.08
,,,,,,,G,Adam Schenk (42307193),Adam Schenk,42307193,G,6100,Valspar Championship,Golf,45.14
,,,,,,,G,Danny Walker (42307194),Danny Walker,42307194,G,6100,Valspar Championship,Golf,54.93
,,,,,,,G,Brice Garnett (42307195),Brice Garnett,42307195,G,6100,Valspar Championship,Golf,44.92
,,,,,,,G,Kensei Hirata (42307196),Kensei Hirata,42307196,G,6100,Valspar Championship,Golf,50.17
,,,,,,,G,Cameron Davis (42307197),Cameron Davis,42307197,G,6100,Valspar Championship,Golf,44.69
,,,,,,,G,Charley Hoffman (42307198),Charley Hoffman,42307198,G,6100,Valspar Championship,Golf,27.92
,,,,,,,G,Brian Campbell (42307199),Brian Campbell,42307199,G,6000,Valspar Championship,Golf,36.36
,,,,,,,G,Jeffrey Kang (42307200),Jeffrey Kang,42307200,G,6000,Valspar Championship,Golf,29.08
,,,,,,,G,Danny Willett (42307201),Danny Willett,42307201,G,6000,Valspar Championship,Golf,32.5
,,,,,,,G,Rafael Campos (42307202),Rafael Campos,42307202,G,6000,Valspar Championship,Golf,45.69
,,,,,,,G,Paul Waring (42307203),Paul Waring,42307203,G,6000,Valspar Championship,Golf,41.58
,,,,,,,G,Alejandro Tosti (42307204),Alejandro Tosti,42307204,G,6000,Valspar Championship,Golf,28.08
,,,,,,,G,Marcelo Rozo (42307205),Marcelo Rozo,42307205,G,6000,Valspar Championship,Golf,40.92
,,,,,,,G,Greg Koch (42307206),Greg Koch,42307206,G,6000,Valspar Championship,Golf,7.5
,,,,,,,G,Luke Guthrie (42329339),Luke Guthrie,42329339,G,6000,Valspar Championship,Golf,31

