Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
75,5086212171,Olson.kj (80/100),0,255.54999,G Hideki Matsuyama G Matt Fitzpatrick G Shane Lowry G Sepp Straka G Maverick McNealy G Corey Conners,,Brian Harman,G,1.47%,19.95
76,5086819281,kevinroach (114/150),0,255.5,G Xander Schauffele G Matt Fitzpatrick G Akshay Bhatia G Maverick McNealy G Sahith Theegala G Daniel Berger,,Michael Brennan,G,1.44%,30.85
76,5086829540,chased97 (89/150),0,255.5,G Xander Schauffele G Matt Fitzpatrick G Akshay Bhatia G Maverick McNealy G Sahith Theegala G Daniel Berger,,Patrick Rodgers,G,1.33%,37.4
78,5085680739,csurunnerccr (143/150),0,255.45,G Ludvig Aberg G Viktor Hovland G Russell Henley G Matt Fitzpatrick G Corey Conners G Ricky Castillo,,Zecheng Dou,G,1.32%,16.9
79,5085626862,Stonesalltheway (18/150),0,255.15001,G Ludvig Aberg G Russell Henley G Cameron Young G Akshay Bhatia G Maverick McNealy G Alex Noren,,Eric Cole,G,1.23%,26.55
80,5086687646,chocobob3,0,255,G Xander Schauffele G Ludvig Aberg G Akshay Bhatia G Sepp Straka G Maverick McNealy G Daniel Berger,,Mark Hubbard,G,1.18%,25.4
81,5086698239,JASir752 (10/10),0,254.9,G Tommy Fleetwood G Hideki Matsuyama G Viktor Hovland G Sahith Theegala G Corey Conners G Aldrich Potgieter,,Sam Stevens,G,1.12%,30.1
82,5086060399,heatkevin22,0,254.8,G Tommy Fleetwood G Ludvig Aberg G Viktor Hovland G Rickie Fowler G Max Homa G Tom Hoge,,Seamus Power,G,1.09%,25.4
83,5086623020,cdlsports (13/75),0,254.7,G Viktor Hovland G Russell Henley G Matt Fitzpatrick G Cameron Young G Maverick McNealy G Christiaan Bezuidenhout,,Austin Smotherman,G,1.01%,50.15
84,5085895742,Firedog50 (47/150),0,254.55,G Tommy Fleetwood G Viktor Hovland G Cameron Young G Maverick McNealy G Adam Scott G Alex Noren,,Emiliano Grillo,G,1.01%,-2.6
85,5086206922,cptnspaulding (78/150),0,254.4,G Tommy Fleetwood G Ludvig Aberg G Brooks Koepka G Patrick Cantlay G Maverick McNealy G Sahith Theegala,,Alex Smalley,G,1.00%,37.4
86,5085988987,dr00pd0g (126/150),0,254.15001,G Tommy Fleetwood G Cameron Young G Min Woo Lee G Maverick McNealy G Sahith Theegala G Kurt Kitayama,,John Keefer,G,0.97%,20.2
86,5086116019,rleejr1971 (1/4),0,254.15,G Hideki Matsuyama G Matt Fitzpatrick G Cameron Young G Sepp Straka G Nicolai Hojgaard G Ryo Hisatsune,,Sami Valimaki,G,0.94%,18.1
86,5086334851,Nadroj311 (98/150),0,254.15,G Ludvig Aberg G Viktor Hovland G Matt Fitzpatrick G Sepp Straka G Adam Scott G J.J. Spaun,,Zachary Bauchou,G,0.93%,23.25
86,5086819271,kevinroach (104/150),0,254.15,G Ludvig Aberg G Viktor Hovland G Matt Fitzpatrick G Sepp Straka G Adam Scott G J.J. Spaun,,Jhonattan Vegas,G,0.85%,29.65
90,5086818990,kevice55,0,253.90001,G Si Woo Kim G Russell Henley G Min Woo Lee G Ben Griffin G Justin Thomas G Sahith Theegala,,Vince Whaley,G,0.83%,13.6
90,5086368860,jshowtime99,0,253.9,G Tommy Fleetwood G Viktor Hovland G Matt Fitzpatrick G Maverick McNealy G Ryan Gerard G Bud Cauley,,Taylor Moore,G,0.78%,45.9
92,5086025769,cnick42,0,253.85,G Ludvig Aberg G Viktor Hovland G Cameron Young G Rickie Fowler G Jordan Spieth G Sahith Theegala,,Denny McCarthy,G,0.76%,17.85
93,5085859896,brady526,0,253.79999,G Russell Henley G Cameron Young G Jacob Bridgeman G Min Woo Lee G Sepp Straka G Rickie Fowler,,Garrick Higgo,G,0.71%,22.1
93,5086066946,hothooper7 (12/20),0,253.79999,G Viktor Hovland G Russell Henley G Akshay Bhatia G Patrick Cantlay G Maverick McNealy G Justin Thomas,,Andrew Novak,G,0.58%,19
95,5086471255,randers (56/150),0,253.75,G Tommy Fleetwood G Hideki Matsuyama G Ben Griffin G Sepp Straka G Adam Scott G J.J. Spaun,,Kevin Roy,G,0.58%,19.25
96,5086406954,Whitehaven64 (2/2),0,253.65,G Hideki Matsuyama G Ludvig Aberg G Cameron Young G Akshay Bhatia G Sahith Theegala G Keith Mitchell,,Chandler Phillips,G,0.52%,1.8
97,5086829509,chased97 (58/150),0,253.45,G Tommy Fleetwood G Cameron Young G Sepp Straka G Patrick Cantlay G Maverick McNealy G Taylor Pendrith,,Aldrich Potgieter,G,0.50%,24.2
98,5086783466,rwalkersc (3/20),0,253.4,G Ludvig Aberg G Viktor Hovland G Russell Henley G Patrick Cantlay G Sahith Theegala G Ricky Castillo,,Sudarshan Yellamaraju,G,0.49%,27.75
99,5086704468,Dudeoflife (59/80),0,253.35,G Russell Henley G Matt Fitzpatrick G Akshay Bhatia G Patrick Cantlay G Maverick McNealy G Justin Thomas,,Marco Penge,G,0.47%,20.2
99,5086786114,tkoblow (73/150),0,253.35,G Tommy Fleetwood G Ludvig Aberg G Cameron Young G Maverick McNealy G Daniel Berger G Alex Noren,,Michael Kim,G,0.47%,26.55
101,5085626904,Stonesalltheway (60/150),0,253.25,G Ludvig Aberg G Russell Henley G Cameron Young G Patrick Cantlay G Maverick McNealy G Corey Conners,,Matthieu Pavon,G,0.44%,19
102,5085626931,Stonesalltheway (87/150),0,253,G Ludvig Aberg G Russell Henley G Cameron Young G Rickie Fowler G Maverick McNealy G Daniel Berger,,Seonghyeon Kim,G,0.40%,27.75
103,5086406115,beaker913 (8/150),0,252.90001,G Ludvig Aberg G Viktor Hovland G Matt Fitzpatrick G Rickie Fowler G Justin Thomas G Daniel Berger,,A.J. Ewart,G,0.38%,9.1
104,5086431303,4thQtrHomeRun (2/2),0,252.8,G Hideki Matsuyama G Viktor Hovland G Russell Henley G Maverick McNealy G Corey Conners G Daniel Berger,,Kevin Yu,G,0.37%,6.1
105,5086680799,Patrick_Star (48/51),0,252.65,G Tommy Fleetwood G Ludvig Aberg G Cameron Young G Patrick Cantlay G Maverick McNealy G Bud Cauley,,Chris Kirk,G,0.36%,33.15
106,5086762276,FelipeRios (1/5),0,252.55,G Tommy Fleetwood G Russell Henley G Matt Fitzpatrick G Patrick Cantlay G Maverick McNealy G Max Greyserman,,Matti Schmid,G,0.34%,43.8
107,5085755380,krause1831,0,252.25,G Scottie Scheffler G Sepp Straka G Harris English G Sahith Theegala G Ryo Hisatsune G Taylor Moore,,Davis Riley,G,0.32%,-1.4
107,5086727575,rvb5511 (3/4),0,252.24998,G Ludvig Aberg G Russell Henley G Shane Lowry G Ben Griffin G Rickie Fowler G Sahith Theegala,,Gary Woodland,G,0.31%,22.35
109,5086832019,Taxman8 (34/75),0,252.00002,G Tommy Fleetwood G Ludvig Aberg G Patrick Cantlay G Maverick McNealy G Justin Thomas G Daniel Berger,,Cameron Davis,G,0.29%,13.6
109,5086440468,southpawstinger6,0,251.99998,G Hideki Matsuyama G Matt Fitzpatrick G Min Woo Lee G Sepp Straka G Rickie Fowler G Corey Conners,,Stephan Jaeger,G,0.29%,22.55
111,5085895777,Firedog50 (82/150),0,251.95,G Tommy Fleetwood G Xander Schauffele G Matt Fitzpatrick G Maverick McNealy G J.J. Spaun G Ricky Castillo,,Takumi Kanaya,G,0.28%,24.65
112,5086230889,TheCommish (120/150),0,251.75,G Tommy Fleetwood G Russell Henley G Matt Fitzpatrick G Maverick McNealy G Alex Noren G Taylor Pendrith,,Lee Hodges,G,0.28%,50.15
113,5086230903,TheCommish (134/150),0,251.70001,G Ludvig Aberg G Viktor Hovland G Cameron Young G Jacob Bridgeman G Sepp Straka G Christiaan Bezuidenhout,,Chad Ramey,G,0.26%,35.1
114,5085973135,dannoe81 (2/2),0,251.5,G Ludvig Aberg G Russell Henley G Cameron Young G Shane Lowry G Sahith Theegala G Alex Noren,,Danny Walker,G,0.24%,34.1
114,5085509343,rudyross (28/51),0,251.49998,G Rickie Fowler G Jordan Spieth G Maverick McNealy G Justin Thomas G Sahith Theegala G Adam Scott,,Andrew Putnam,G,0.23%,37.4
114,5086685870,dbg83 (4/4),0,251.49998,G Xander Schauffele G Ludvig Aberg G Cameron Young G Min Woo Lee G Sahith Theegala G Keith Mitchell,,Patton Kizzire,G,0.19%,4.9
117,5085508095,2zschazzz (1/3),0,251.45,G Ludvig Aberg G Viktor Hovland G Matt Fitzpatrick G Patrick Cantlay G Maverick McNealy G Corey Conners,,Karl Vilips,G,0.18%,28.7
118,5085680628,csurunnerccr (32/150),0,251.34999,G Ludvig Aberg G Cameron Young G Akshay Bhatia G Sam Burns G Sepp Straka G Sahith Theegala,,William Mouw,G,0.17%,42.6
118,5086212706,craftylefty (14/40),0,251.34999,G Ludvig Aberg G Cameron Young G Akshay Bhatia G Sam Burns G Sepp Straka G Sahith Theegala,,Brian Campbell,G,0.11%,25.4
118,5086769216,charlie2850,0,251.34999,G Viktor Hovland G Robert MacIntyre G Akshay Bhatia G Min Woo Lee G Sepp Straka G Sahith Theegala,,Adam Schenk,G,0.06%,11.45
121,5085811060,SkyU27 (3/10),0,251.2,G Viktor Hovland G Russell Henley G Matt Fitzpatrick G Maverick McNealy G Harris English G Alex Noren,,Erik Van Rooyen,G,0.06%,13.6
122,5086607873,stash77 (1/3),0,251.1,G Xander Schauffele G Hideki Matsuyama G Min Woo Lee G Sepp Straka G Sahith Theegala G Wyndham Clark,,Steven Fisk,G,0.05%,20.2
123,5085482631,JPB2014 (88/150),0,251.05,G Hideki Matsuyama G Ludvig Aberg G Viktor Hovland G Sepp Straka G Daniel Berger G Alex Noren,,Joe Highsmith,G,0.05%,38.6
123,5086786386,starrider408 (3/3),0,251.05,G Viktor Hovland G Matt Fitzpatrick G Jacob Bridgeman G Rickie Fowler G Harris English G Sahith Theegala,,,
125,5086378148,schoolboyzombie10,0,250.9,G Ludvig Aberg G Cameron Young G Akshay Bhatia G Min Woo Lee G Sahith Theegala G Max Greyserman,,,
126,5085603155,moklovin (84/150),0,250.8,G Ludvig Aberg G Russell Henley G Cameron Young G Brooks Koepka G Tony Finau G Max Greyserman,,,
126,5086306781,PooGazoo (3/3),0,250.79999,G Scottie Scheffler G Rickie Fowler G Sahith Theegala G Adam Scott G Tony Finau G Taylor Moore,,,
128,5086334890,Nadroj311 (137/150),0,250.55,G Ludvig Aberg G Russell Henley G Akshay Bhatia G Rickie Fowler G Harris English G Sahith Theegala,,,
128,5086744512,ilovefootball247 (19/25),0,250.55,G Ludvig Aberg G Russell Henley G Akshay Bhatia G Rickie Fowler G Harris English G Sahith Theegala,,,
128,5086634560,Wakeupthegimp (3/3),0,250.54999,G Ludvig Aberg G Viktor Hovland G Cameron Young G Jordan Spieth G Sahith Theegala G J.J. Spaun,,,
131,5085535931,bigal13 (4/4),0,250.45,G Xander Schauffele G Ludvig Aberg G Matt Fitzpatrick G Maverick McNealy G Corey Conners G Daniel Berger,,,
132,5086176209,bookem5,0,250.34999,G Hideki Matsuyama G Viktor Hovland G Cameron Young G Harris English G Sahith Theegala G Adam Scott,,,
132,5086344004,crazycakes,0,250.34999,G Si Woo Kim G Cameron Young G Min Woo Lee G Sepp Straka G Rickie Fowler G Sahith Theegala,,,
132,5086750543,jesterzz,0,250.34999,G Xander Schauffele G Ludvig Aberg G Viktor Hovland G Akshay Bhatia G Sahith Theegala G Jhonattan Vegas,,,
135,5086206861,cptnspaulding (17/150),0,250.3,G Ludvig Aberg G Viktor Hovland G Matt Fitzpatrick G Akshay Bhatia G Maverick McNealy G Keith Mitchell,,,
